AC_MODEL,AC_TYPE_CODE
737-5B6,6450
737-5C9,6450
737-5H3,6450
737-5H4,6450
737-5H6,6450
737-5K5,6450
737-5L9,6450
737-5L9(W),6450
737-5Q8,6450
737-5U3,6450
737-5Y0,6450
737-5Y0(W),6450
737-683,6460
737-6CT,6460
737-6D6,6460
737-6H3,6460
737-6Q8,6460
737-6Z9,6460
737-7,6570
737-700(W),6470
737-700(W) (BBJ),6477
737-705,6470
737-705(W),6470
737-71B,6470
737-71B(W),6470
737-71M,6470
737-71Q,6470
737-71Q(W),6470
737-724,6470
737-724(W),6470
737-724(W)(ETOPS),6470
737-72T(W) (BBJ),6477
737-72U(W) (BBJ),6477
737-732(W),6470
737-73A,6470
737-73A(W),6470
737-73A(W)(ETOPS),6470
737-73Q(W) (BBJ),6477
737-73S,6470
737-73S(W),6470
737-73T(W) (BBJ),6477
737-73U(W) (BBJ),6477
737-73V,6470
737-73V(W),6470
737-73W(W) (BBJ),6477
737-74P(W),6470
737-74Q(W) (BBJ),6477
737-74T(W) (BBJ),6477
737-74U(W) (BBJ),6477
737-752(W),6470
737-758,6470
737-75B,6470
737-75B(W),6470
737-75C,6470
737-75C(W),6470
737-75G (BBJ),6477
737-75G(W) (BBJ),6477
737-75N(W),6470
737-75R,6470
737-75R(W),6470
737-75T(W) (BBJ),6477
737-75U(W) (BBJ),6477
737-75V(W) (BBJ),6477
737-760(W),6470
737-76D,6470
737-76D(W),6470
737-76J(W),6470
737-76N,6470
737-76N(W),6470
737-76N(W)(ETOPS),6470
737-76Q,6470
737-76Q(F)(W),6475
737-76Q(W),6470
737-77L,6470
737-77W(W) (BBJ),6477
737-77Z(W) (BBJ),6477
737-781(W),6470
737-781ER(W) (BBJ),6477
737-783,6470
737-783(W),6470
737-78J,6470
737-78J(W),6470
737-78S,6470
737-790,6470
737-790(F)(W),6475
737-790(W),6470
737-79K,6470
737-79L,6470
737-79L(W),6470
737-79L(W) (BBJ),6477
737-79P,6470
737-79P(W),6470
737-79T(W) (BBJ),6477
737-79U(W) (BBJ),6477
737-79V(W) (BBJ),6477
737-7AD,6470
737-7AD(W),6470
737-7AFC(W) (C-40A),6475
737-7AH(W) (BBJ),6477
737-7AJ(W) (BBJ),6477
737-7AK(W) (BBJ),6477
737-7AN(W) (BBJ),6477
737-7AU(W) (BBJ),6477
737-7AV(W) (BBJ),6477
737-7AW(W) (BBJ),6477
737-7AX,6470
737-7AXC,6475
737-7B5 (BBJ),6477
737-7B5(W) (BBJ),6477
737-7B6,6470
737-7B6(W),6470
737-7B6(W)(ETOPS),6470
737-7BC(W) (BBJ),6477
737-7BD,6470
737-7BD(W),6470
737-7BF(W) (BBJ),6477
737-7BH(W) (BBJ),6477
737-7BJ(W) (BBJ),6477
737-7BK,6470
737-7BK(W),6470
737-7BQ(W) (BBJ),6477
737-7BX,6470
737-7BX(ETOPS),6470
737-7BX(W),6470
737-7C9(W),6470
737-7CG(W) (BBJ),6477
737-7CJ(W) (BBJ),6477
737-7CN(W) (BBJ),6477
737-7CT(W),6470
737-7CT(W)(ETOPS),6470
737-7CU(W) (BBJ),6477
737-7D6C(W),6475
737-7DP(W) (BBJ),6477
737-7E0(W) (BBJ),6477
737-7EA,6470
737-7EE(W),6470
737-7EG(W) (BBJ),6477
737-7EH(W),6470
