AIRPORT_ICAO,AIRPORT_IATA,AIRPORT_NAME,AIRPORT_CITY,AIRPORT_CITY_CD,AIRPORT_STATE_CD,AIRPORT_COUNTRY_CD,AIRPORT_COUNTRY,AIRPORT_REGION,AIRPORT_REGION_TIMEZONE,UTC_HR_OFFSET,AIRPORT_LATITUDE,AIRPORT_LONGITUDE,AIRPORT_ELEVATION,AIRPORT_SIZE,UPDATED_DT
SVPR,PZO,Manuel Carlos Piar Guayana Airport,Puerto Ordaz,PZO,"",VE,Venezuela,South America,America/Caracas,-4,8.286533,-62.759138,453,4,2017-10-10 11:17:20
SVPT,PTM,Palmarito Airport,Palmarito,PTM,"",VE,Venezuela,South America,America/Caracas,-4,7.566667,-70.183333,348,5,2017-10-10 11:17:20
SVSA,SVZ,Juan Vicente Gomez International Airport,San Antonio del Tachira,SVZ,"",VE,Venezuela,South America,America/Caracas,-4,7.839308,-72.440059,1265,4,2017-10-10 11:17:20
SVSE,SNV,Santa Elena Airport,Santa Elena,SNV,"",VE,Venezuela,South America,America/Caracas,-4,4.55,-61.116667,2940,5,2017-10-10 11:17:20
SVSO,STD,Mayo Guerrero Airport,Santo Domingo,STD,"",VE,Venezuela,South America,America/Caracas,-4,7.570489,-72.044116,1060,4,2017-10-10 11:17:20
SVSP,SNF,San Felipe Airport,San Felipe,SNF,"",VE,Venezuela,South America,America/Caracas,-4,10.280278,-68.753889,761,5,2017-10-10 11:17:20
SVSR,SFD,Las Flecheras Airport,San Fernando de Apure,SFD,"",VE,Venezuela,South America,America/Caracas,-4,7.884271,-67.443462,166,4,2017-10-10 11:17:20
SVST,SOM,San Tome Airport,San Tome,SOM,"",VE,Venezuela,South America,America/Caracas,-4,8.946078,-64.14502,886,4,2017-10-10 11:17:20
SVSZ,STB,L Delicias Airport,Santa Barbara Ed,STB,"",VE,Venezuela,South America,America/Caracas,-4,9.033333,-71.95,32,5,2017-10-10 11:17:20
SVTC,TUV,Tucupita Airport,Tucupita,TUV,"",VE,Venezuela,South America,America/Caracas,-4,9.091667,-62.05,33,5,2017-10-10 11:17:20
SVTM,TMO,Tumeremo Airport,Tumeremo,TMO,"",VE,Venezuela,South America,America/Caracas,-4,7.3,-61.5,345,5,2017-10-10 11:17:20
SVUM,URM,Uriman Airport,Uriman,URM,"",VE,Venezuela,South America,America/Caracas,-4,5.341667,-62.758333,1148,5,2017-10-10 11:17:20
SVVA,VLN,Arturo Michelena International Airport,Valencia,VLN,"",VE,Venezuela,South America,America/Caracas,-4,10.15429,-67.922479,1411,4,2017-10-10 11:17:20
SVVG,VIG,El Vigia Airport,El Vigia,VIG,"",VE,Venezuela,South America,America/Caracas,-4,8.633333,-71.65,249,4,2017-10-10 11:17:20
SVVL,VLV,Colonel Antonio Nicolas Briceno Airport,Valera,VLV,"",VE,Venezuela,South America,America/Caracas,-4,9.33998,-70.585942,1890,4,2017-10-10 11:17:20
SVVP,VDP,Valle de la Pascua Airport,Valle de la Pascua,VDP,"",VE,Venezuela,South America,America/Caracas,-4,9.221389,-65.991111,410,5,2017-10-10 11:17:20
SWAC,ARS,Aragarcas Airport,Aragarcas,ARS,GO,BR,Brazil,South America,America/Sao_Paulo,-2,-15.9,-52.233333,1029,5,2017-12-13 18:29:45
SWBC,BAZ,Barbelos Airport,Barbelos,BAZ,AM,BR,Brazil,South America,America/Porto_Velho,-4,-0.966944,-62.933611,112,4,2017-10-10 11:17:20
SWBR,RBB,Borba Airport,Borba,RBB,AM,BR,Brazil,South America,America/Porto_Velho,-4,-4.4,-59.583333,295,5,2017-10-10 11:17:20
SWCA,CAF,Carauari Airport,Carauari,CAF,AM,BR,Brazil,South America,America/Porto_Velho,-4,-4.9,-66.916667,354,5,2017-10-10 11:17:20
SWCQ,CQS,Costa Marques Airport,Costa Marques,CQS,RO,BR,Brazil,South America,America/Porto_Velho,-4,-12.416667,-64.25,555,5,2017-10-10 11:17:20
SWDM,DMT,Diamantino Airport,Diamantino,DMT,MT,BR,Brazil,South America,America/Campo_Grande,-3,-14.5,-56.5,1476,5,2017-12-13 18:29:45
SWDN,DNO,Dianopolis Airport,Dianopolis,DNO,TO,BR,Brazil,South America,America/Belem,-3,-11.616667,-46.85,2001,5,2017-10-10 11:17:20
SWEI,ERN,Eirunepe Airport,Eirunepe,ERN,AM,BR,Brazil,South America,America/Eirunepe,-5,-6.639462,-69.879657,397,4,2018-01-03 06:26:01
SWEK,CQA,Canarana Airport,Canarana,CQA,MT,BR,Brazil,South America,America/Campo_Grande,-3,-13.574167,-52.270278,1296,5,2017-12-13 18:29:45
SWFJ,FEJ,Feijo Airport,Feijo,FEJ,AC,BR,Brazil,South America,America/Rio_Branco,-5,-8.15,-70.35,394,5,2017-10-10 11:17:20
